date,workout_name,workout_type,notes,exercise_name,set_number,reps,weight_kg,rpe
2024-03-31,Push A,push,,Développé incliné haltères,1,10,25,7
2024-03-31,Push A,push,,Développé incliné haltères,2,10,25,8
2024-03-31,Push A,push,,Développé incliné haltères,3,8,25,8.5
2024-03-31,Push A,push,,Dips,1,10,17.5,7
2024-03-31,Push A,push,,Dips,2,8,17.5,8
2024-03-31,Push A,push,,Dips,3,8,17.5,8.5
2024-03-31,Push A,push,,Extension triceps poulie,1,12,29.5,6
2024-03-31,Push A,push,,Extension triceps poulie,2,12,29.5,7
2024-03-31,Push A,push,,Extension triceps poulie,3,10,29.5,8
2024-04-02,Pull A,pull,,Tractions pronation,1,8,7.5,7.5
2024-04-02,Pull A,pull,,Tractions pronation,2,7,7.5,8
2024-04-02,Pull A,pull,,Tractions pronation,3,6,7.5,8.5
2024-04-02,Pull A,pull,,Rowing barre,1,8,67.5,7
2024-04-02,Pull A,pull,,Rowing barre,2,8,67.5,8
2024-04-02,Pull A,pull,,Rowing barre,3,6,67.5,8.5
2024-04-02,Pull A,pull,,Tirage vertical,1,10,62.5,7
2024-04-02,Pull A,pull,,Tirage vertical,2,10,62.5,8
2024-04-02,Pull A,pull,,Tirage vertical,3,8,62.5,8
2024-04-02,Pull A,pull,,Curl barre,1,10,33,7
2024-04-02,Pull A,pull,,Curl barre,2,10,33,8
2024-04-02,Pull A,pull,,Curl barre,3,8,33,8.5
2024-04-04,Legs A,legs,,Squat barre,1,6,97.5,7.5
2024-04-04,Legs A,legs,,Squat barre,2,6,97.5,8
2024-04-04,Legs A,legs,,Squat barre,3,5,97.5,8.5
2024-04-04,Legs A,legs,,Presse à cuisses,1,10,135,7
2024-04-04,Legs A,legs,,Presse à cuisses,2,10,135,8
2024-04-04,Legs A,legs,,Presse à cuisses,3,8,135,8.5
2024-04-04,Legs A,legs,,Leg curl,1,12,47.5,7
2024-04-04,Legs A,legs,,Leg curl,2,10,47.5,8
2024-04-04,Legs A,legs,,Leg curl,3,10,47.5,8.5
2024-04-04,Legs A,legs,,Hip thrust,1,10,95,7
2024-04-04,Legs A,legs,,Hip thrust,2,10,95,8
2024-04-04,Legs A,legs,,Hip thrust,3,8,95,8
2024-04-07,Push B,push,,Développé militaire,1,8,62.5,7
2024-04-07,Push B,push,,Développé militaire,2,8,62.5,8
2024-04-07,Push B,push,,Développé militaire,3,6,62.5,8.5
2024-04-07,Push B,push,,Développé couché haltères,1,10,27,7
2024-04-07,Push B,push,,Développé couché haltères,2,10,27,8
2024-04-07,Push B,push,,Développé couché haltères,3,8,27,8.5
2024-04-07,Push B,push,,Arnold press,1,10,21,7
2024-04-07,Push B,push,,Arnold press,2,10,21,8
2024-04-07,Push B,push,,Arnold press,3,8,21,8
2024-04-07,Push B,push,,Écarté haltères,1,12,17,6
2024-04-07,Push B,push,,Écarté haltères,2,12,17,7
2024-04-07,Push B,push,,Écarté haltères,3,10,17,8
2024-04-09,Pull B,pull,,Soulevé de terre,1,5,125,7.5
2024-04-09,Pull B,pull,,Soulevé de terre,2,5,125,8
2024-04-09,Pull B,pull,,Soulevé de terre,3,4,125,8.5
2024-04-09,Pull B,pull,,Rowing haltère,1,10,32,7
2024-04-09,Pull B,pull,,Rowing haltère,2,10,32,8
2024-04-09,Pull B,pull,,Rowing haltère,3,8,32,8.5
2024-04-09,Pull B,pull,,Tirage horizontal poulie,1,10,57.5,7
2024-04-09,Pull B,pull,,Tirage horizontal poulie,2,10,57.5,8
2024-04-09,Pull B,pull,,Tirage horizontal poulie,3,8,57.5,8
2024-04-09,Pull B,pull,,Curl marteau,1,12,19,7
2024-04-09,Pull B,pull,,Curl marteau,2,10,19,8
2024-04-09,Pull B,pull,,Curl marteau,3,10,19,8.5
2024-04-11,Legs B,legs,,Squat bulgare,1,10,24,7.5
2024-04-11,Legs B,legs,,Squat bulgare,2,8,24,8
2024-04-11,Legs B,legs,,Squat bulgare,3,8,24,8.5
2024-04-11,Legs B,legs,,Soulevé de terre roumain,1,8,77.5,7
2024-04-11,Legs B,legs,,Soulevé de terre roumain,2,8,77.5,8
2024-04-11,Legs B,legs,,Soulevé de terre roumain,3,6,77.5,8.5
2024-04-11,Legs B,legs,,Leg extension,1,15,52.5,7
2024-04-11,Legs B,legs,,Leg extension,2,12,52.5,8
2024-04-11,Legs B,legs,,Leg extension,3,12,52.5,8
2024-04-11,Legs B,legs,,Fentes,1,12,21,7
2024-04-11,Legs B,legs,,Fentes,2,10,21,8
2024-04-11,Legs B,legs,,Fentes,3,10,21,8.5
2024-04-14,Push A,push,,Développé couché barre,1,8,87.5,7
2024-04-14,Push A,push,,Développé couché barre,2,8,87.5,8
2024-04-14,Push A,push,,Développé couché barre,3,6,87.5,8.5
2024-04-14,Push A,push,,Développé incliné haltères,1,10,25,7
2024-04-14,Push A,push,,Développé incliné haltères,2,10,25,8
2024-04-14,Push A,push,,Développé incliné haltères,3,8,25,8.5
2024-04-14,Push A,push,,Dips,1,10,17.5,7
2024-04-14,Push A,push,,Dips,2,8,17.5,8
2024-04-14,Push A,push,,Dips,3,8,17.5,8.5
2024-04-14,Push A,push,,Extension triceps poulie,1,12,29.5,6
2024-04-14,Push A,push,,Extension triceps poulie,2,12,29.5,7
2024-04-14,Push A,push,,Extension triceps poulie,3,10,29.5,8
2024-04-16,Pull A,pull,,Tractions pronation,1,8,7.5,7.5
2024-04-16,Pull A,pull,,Tractions pronation,2,7,7.5,8
2024-04-16,Pull A,pull,,Tractions pronation,3,6,7.5,8.5
2024-04-16,Pull A,pull,,Rowing barre,1,8,67.5,7
2024-04-16,Pull A,pull,,Rowing barre,2,8,67.5,8
2024-04-16,Pull A,pull,,Rowing barre,3,6,67.5,8.5
2024-04-16,Pull A,pull,,Tirage vertical,1,10,62.5,7
2024-04-16,Pull A,pull,,Tirage vertical,2,10,62.5,8
2024-04-16,Pull A,pull,,Tirage vertical,3,8,62.5,8
2024-04-16,Pull A,pull,,Curl barre,1,10,33,7
2024-04-16,Pull A,pull,,Curl barre,2,10,33,8
2024-04-16,Pull A,pull,,Curl barre,3,8,33,8.5
2024-04-18,Legs A,legs,,Squat barre,1,6,97.5,7.5
2024-04-18,Legs A,legs,,Squat barre,2,6,97.5,8
2024-04-18,Legs A,legs,,Squat barre,3,5,97.5,8.5
2024-04-18,Legs A,legs,,Presse à cuisses,1,10,135,7
2024-04-18,Legs A,legs,,Presse à cuisses,2,10,135,8
2024-04-18,Legs A,legs,,Presse à cuisses,3,8,135,8.5
2024-04-18,Legs A,legs,,Leg curl,1,12,47.5,7
2024-04-18,Legs A,legs,,Leg curl,2,10,47.5,8
2024-04-18,Legs A,legs,,Leg curl,3,10,47.5,8.5
2024-04-18,Legs A,legs,,Hip thrust,1,10,95,7
2024-04-18,Legs A,legs,,Hip thrust,2,10,95,8
2024-04-18,Legs A,legs,,Hip thrust,3,8,95,8
2024-04-21,Push B,push,,Développé militaire,1,8,62.5,7
2024-04-21,Push B,push,,Développé militaire,2,8,62.5,8
2024-04-21,Push B,push,,Développé militaire,3,6,62.5,8.5
2024-04-21,Push B,push,,Développé couché haltères,1,10,27,7
2024-04-21,Push B,push,,Développé couché haltères,2,10,27,8
2024-04-21,Push B,push,,Développé couché haltères,3,8,27,8.5
2024-04-21,Push B,push,,Arnold press,1,10,21,7
2024-04-21,Push B,push,,Arnold press,2,10,21,8
2024-04-21,Push B,push,,Arnold press,3,8,21,8
2024-04-21,Push B,push,,Écarté haltères,1,12,17,6
2024-04-21,Push B,push,,Écarté haltères,2,12,17,7
2024-04-21,Push B,push,,Écarté haltères,3,10,17,8
2024-04-23,Pull B,pull,,Soulevé de terre,1,5,125,7.5
2024-04-23,Pull B,pull,,Soulevé de terre,2,5,125,8
2024-04-23,Pull B,pull,,Soulevé de terre,3,4,125,8.5
2024-04-23,Pull B,pull,,Rowing haltère,1,10,32,7
2024-04-23,Pull B,pull,,Rowing haltère,2,10,32,8
2024-04-23,Pull B,pull,,Rowing haltère,3,8,32,8.5
2024-04-23,Pull B,pull,,Tirage horizontal poulie,1,10,57.5,7
2024-04-23,Pull B,pull,,Tirage horizontal poulie,2,10,57.5,8
2024-04-23,Pull B,pull,,Tirage horizontal poulie,3,8,57.5,8
2024-04-23,Pull B,pull,,Curl marteau,1,12,19,7
2024-04-23,Pull B,pull,,Curl marteau,2,10,19,8
2024-04-23,Pull B,pull,,Curl marteau,3,10,19,8.5
2024-04-25,Legs B,legs,,Squat bulgare,1,10,24,7.5
2024-04-25,Legs B,legs,,Squat bulgare,2,8,24,8
2024-04-25,Legs B,legs,,Squat bulgare,3,8,24,8.5
2024-04-25,Legs B,legs,,Soulevé de terre roumain,1,8,77.5,7
2024-04-25,Legs B,legs,,Soulevé de terre roumain,2,8,77.5,8
2024-04-25,Legs B,legs,,Soulevé de terre roumain,3,6,77.5,8.5
2024-04-25,Legs B,legs,,Leg extension,1,15,52.5,7
2024-04-25,Legs B,legs,,Leg extension,2,12,52.5,8
2024-04-25,Legs B,legs,,Leg extension,3,12,52.5,8
2024-04-25,Legs B,legs,,Fentes,1,12,21,7
2024-04-25,Legs B,legs,,Fentes,2,10,21,8
2024-04-25,Legs B,legs,,Fentes,3,10,21,8.5
2024-04-28,Push A,push,,Développé couché barre,1,8,90,7
2024-04-28,Push A,push,,Développé couché barre,2,8,90,8
2024-04-28,Push A,push,,Développé couché barre,3,6,90,8.5
2024-04-28,Push A,push,,Développé incliné haltères,1,10,26,7
2024-04-28,Push A,push,,Développé incliné haltères,2,10,26,8
2024-04-28,Push A,push,,Développé incliné haltères,3,8,26,8.5
2024-04-28,Push A,push,,Dips,1,10,20,7
2024-04-28,Push A,push,,Dips,2,8,20,8
2024-04-28,Push A,push,,Dips,3,8,20,8.5
2024-04-28,Push A,push,,Extension triceps poulie,1,12,32,6
2024-04-28,Push A,push,,Extension triceps poulie,2,12,32,7
2024-04-28,Push A,push,,Extension triceps poulie,3,10,32,8
2024-04-30,Pull A,pull,,Tractions pronation,1,8,10,7.5
2024-04-30,Pull A,pull,,Tractions pronation,2,7,10,8
2024-04-30,Pull A,pull,,Tractions pronation,3,6,10,8.5
2024-04-30,Pull A,pull,,Rowing barre,1,8,70,7
2024-04-30,Pull A,pull,,Rowing barre,2,8,70,8
2024-04-30,Pull A,pull,,Rowing barre,3,6,70,8.5
2024-04-30,Pull A,pull,,Tirage vertical,1,10,65,7
2024-04-30,Pull A,pull,,Tirage vertical,2,10,65,8
2024-04-30,Pull A,pull,,Tirage vertical,3,8,65,8
2024-04-30,Pull A,pull,,Curl barre,1,10,34,7
2024-04-30,Pull A,pull,,Curl barre,2,10,34,8
2024-04-30,Pull A,pull,,Curl barre,3,8,34,8.5
2024-05-02,Legs A,legs,,Squat barre,1,6,100,7.5
2024-05-02,Legs A,legs,,Squat barre,2,6,100,8
2024-05-02,Legs A,legs,,Squat barre,3,5,100,8.5
2024-05-02,Legs A,legs,,Presse à cuisses,1,10,140,7
2024-05-02,Legs A,legs,,Presse à cuisses,2,10,140,8
2024-05-02,Legs A,legs,,Presse à cuisses,3,8,140,8.5
2024-05-02,Legs A,legs,,Leg curl,1,12,50,7
2024-05-02,Legs A,legs,,Leg curl,2,10,50,8
2024-05-02,Legs A,legs,,Leg curl,3,10,50,8.5
2024-05-02,Legs A,legs,,Hip thrust,1,10,100,7
2024-05-02,Legs A,legs,,Hip thrust,2,10,100,8
2024-05-02,Legs A,legs,,Hip thrust,3,8,100,8
2024-05-05,Push B,push,,Développé militaire,1,8,65,7
2024-05-05,Push B,push,,Développé militaire,2,8,65,8
2024-05-05,Push B,push,,Développé militaire,3,6,65,8.5
2024-05-05,Push B,push,,Développé couché haltères,1,10,28,7
2024-05-05,Push B,push,,Développé couché haltères,2,10,28,8
2024-05-05,Push B,push,,Développé couché haltères,3,8,28,8.5
2024-05-05,Push B,push,,Arnold press,1,10,22,7
2024-05-05,Push B,push,,Arnold press,2,10,22,8
2024-05-05,Push B,push,,Arnold press,3,8,22,8
2024-05-05,Push B,push,,Écarté haltères,1,12,18,6
2024-05-05,Push B,push,,Écarté haltères,2,12,18,7
2024-05-05,Push B,push,,Écarté haltères,3,10,18,8
2024-05-07,Pull B,pull,,Soulevé de terre,1,5,130,7.5
2024-05-07,Pull B,pull,,Soulevé de terre,2,5,130,8
2024-05-07,Pull B,pull,,Soulevé de terre,3,4,130,8.5
2024-05-07,Pull B,pull,,Rowing haltère,1,10,34,7
2024-05-07,Pull B,pull,,Rowing haltère,2,10,34,8
2024-05-07,Pull B,pull,,Rowing haltère,3,8,34,8.5
2024-05-07,Pull B,pull,,Tirage horizontal poulie,1,10,60,7
2024-05-07,Pull B,pull,,Tirage horizontal poulie,2,10,60,8
2024-05-07,Pull B,pull,,Tirage horizontal poulie,3,8,60,8
2024-05-07,Pull B,pull,,Curl marteau,1,12,20,7
2024-05-07,Pull B,pull,,Curl marteau,2,10,20,8
2024-05-07,Pull B,pull,,Curl marteau,3,10,20,8.5
2024-05-09,Legs B,legs,,Squat bulgare,1,10,26,7.5
2024-05-09,Legs B,legs,,Squat bulgare,2,8,26,8
2024-05-09,Legs B,legs,,Squat bulgare,3,8,26,8.5
2024-05-09,Legs B,legs,,Soulevé de terre roumain,1,8,80,7
2024-05-09,Legs B,legs,,Soulevé de terre roumain,2,8,80,8
2024-05-09,Legs B,legs,,Soulevé de terre roumain,3,6,80,8.5
2024-05-09,Legs B,legs,,Leg extension,1,15,55,7
2024-05-09,Legs B,legs,,Leg extension,2,12,55,8
2024-05-09,Legs B,legs,,Leg extension,3,12,55,8
2024-05-09,Legs B,legs,,Fentes,1,12,22,7
2024-05-09,Legs B,legs,,Fentes,2,10,22,8
2024-05-09,Legs B,legs,,Fentes,3,10,22,8.5
2024-05-12,Push A,push,,Développé couché barre,1,8,90,7
2024-05-12,Push A,push,,Développé couché barre,2,8,90,8
2024-05-12,Push A,push,,Développé couché barre,3,6,90,8.5
2024-05-12,Push A,push,,Développé incliné haltères,1,10,26,7
2024-05-12,Push A,push,,Développé incliné haltères,2,10,26,8
2024-05-12,Push A,push,,Développé incliné haltères,3,8,26,8.5
2024-05-12,Push A,push,,Dips,1,10,20,7
2024-05-12,Push A,push,,Dips,2,8,20,8
2024-05-12,Push A,push,,Dips,3,8,20,8.5
2024-05-12,Push A,push,,Extension triceps poulie,1,12,32,6
2024-05-12,Push A,push,,Extension triceps poulie,2,12,32,7
2024-05-12,Push A,push,,Extension triceps poulie,3,10,32,8
2024-05-14,Pull A,pull,,Tractions pronation,1,8,10,7.5
2024-05-14,Pull A,pull,,Tractions pronation,2,7,10,8
2024-05-14,Pull A,pull,,Tractions pronation,3,6,10,8.5
2024-05-14,Pull A,pull,,Rowing barre,1,8,70,7
2024-05-14,Pull A,pull,,Rowing barre,2,8,70,8
2024-05-14,Pull A,pull,,Rowing barre,3,6,70,8.5
2024-05-14,Pull A,pull,,Tirage vertical,1,10,65,7
2024-05-14,Pull A,pull,,Tirage vertical,2,10,65,8
2024-05-14,Pull A,pull,,Tirage vertical,3,8,65,8
2024-05-14,Pull A,pull,,Curl barre,1,10,34,7
2024-05-14,Pull A,pull,,Curl barre,2,10,34,8
2024-05-14,Pull A,pull,,Curl barre,3,8,34,8.5
2024-05-16,Legs A,legs,,Squat barre,1,6,100,7.5
2024-05-16,Legs A,legs,,Squat barre,2,6,100,8
2024-05-16,Legs A,legs,,Squat barre,3,5,100,8.5
2024-05-16,Legs A,legs,,Presse à cuisses,1,10,140,7
2024-05-16,Legs A,legs,,Presse à cuisses,2,10,140,8
2024-05-16,Legs A,legs,,Presse à cuisses,3,8,140,8.5
2024-05-16,Legs A,legs,,Leg curl,1,12,50,7
2024-05-16,Legs A,legs,,Leg curl,2,10,50,8
2024-05-16,Legs A,legs,,Leg curl,3,10,50,8.5
2024-05-16,Legs A,legs,,Hip thrust,1,10,100,7
2024-05-16,Legs A,legs,,Hip thrust,2,10,100,8
2024-05-16,Legs A,legs,,Hip thrust,3,8,100,8
2024-05-19,Push B,push,,Développé militaire,1,8,65,7
2024-05-19,Push B,push,,Développé militaire,2,8,65,8
2024-05-19,Push B,push,,Développé militaire,3,6,65,8.5
2024-05-19,Push B,push,,Développé couché haltères,1,10,28,7
2024-05-19,Push B,push,,Développé couché haltères,2,10,28,8
2024-05-19,Push B,push,,Développé couché haltères,3,8,28,8.5
2024-05-19,Push B,push,,Arnold press,1,10,22,7
2024-05-19,Push B,push,,Arnold press,2,10,22,8
2024-05-19,Push B,push,,Arnold press,3,8,22,8
2024-05-19,Push B,push,,Écarté haltères,1,12,18,6
2024-05-19,Push B,push,,Écarté haltères,2,12,18,7
2024-05-19,Push B,push,,Écarté haltères,3,10,18,8
2024-05-21,Pull B,pull,,Soulevé de terre,1,5,130,7.5
2024-05-21,Pull B,pull,,Soulevé de terre,2,5,130,8
2024-05-21,Pull B,pull,,Soulevé de terre,3,4,130,8.5
2024-05-21,Pull B,pull,,Rowing haltère,1,10,34,7
2024-05-21,Pull B,pull,,Rowing haltère,2,10,34,8
2024-05-21,Pull B,pull,,Rowing haltère,3,8,34,8.5
2024-05-21,Pull B,pull,,Tirage horizontal poulie,1,10,60,7
2024-05-21,Pull B,pull,,Tirage horizontal poulie,2,10,60,8
2024-05-21,Pull B,pull,,Tirage horizontal poulie,3,8,60,8
2024-05-21,Pull B,pull,,Curl marteau,1,12,20,7
2024-05-21,Pull B,pull,,Curl marteau,2,10,20,8
2024-05-21,Pull B,pull,,Curl marteau,3,10,20,8.5
2024-05-23,Legs B,legs,,Squat bulgare,1,10,26,7.5
2024-05-23,Legs B,legs,,Squat bulgare,2,8,26,8
2024-05-23,Legs B,legs,,Squat bulgare,3,8,26,8.5
2024-05-23,Legs B,legs,,Soulevé de terre roumain,1,8,80,7
2024-05-23,Legs B,legs,,Soulevé de terre roumain,2,8,80,8
2024-05-23,Legs B,legs,,Soulevé de terre roumain,3,6,80,8.5
2024-05-23,Legs B,legs,,Leg extension,1,15,55,7
2024-05-23,Legs B,legs,,Leg extension,2,12,55,8
2024-05-23,Legs B,legs,,Leg extension,3,12,55,8
2024-05-23,Legs B,legs,,Fentes,1,12,22,7
2024-05-23,Legs B,legs,,Fentes,2,10,22,8
2024-05-23,Legs B,legs,,Fentes,3,10,22,8.5
2024-05-26,Push A,push,,Développé couché barre,1,8,92.5,7
2024-05-26,Push A,push,,Développé couché barre,2,8,92.5,8
2024-05-26,Push A,push,,Développé couché barre,3,6,92.5,8.5
2024-05-26,Push A,push,,Développé incliné haltères,1,10,27,7
2024-05-26,Push A,push,,Développé incliné haltères,2,10,27,8
2024-05-26,Push A,push,,Développé incliné haltères,3,8,27,8.5
2024-05-26,Push A,push,,Dips,1,10,22.5,7
2024-05-26,Push A,push,,Dips,2,8,22.5,8
2024-05-26,Push A,push,,Dips,3,8,22.5,8.5
2024-05-26,Push A,push,,Extension triceps poulie,1,12,34.5,6
2024-05-26,Push A,push,,Extension triceps poulie,2,12,34.5,7
2024-05-26,Push A,push,,Extension triceps poulie,3,10,34.5,8
2024-05-28,Pull A,pull,,Tractions pronation,1,8,12.5,7.5
2024-05-28,Pull A,pull,,Tractions pronation,2,7,12.5,8
2024-05-28,Pull A,pull,,Tractions pronation,3,6,12.5,8.5
2024-05-28,Pull A,pull,,Rowing barre,1,8,72.5,7
2024-05-28,Pull A,pull,,Rowing barre,2,8,72.5,8
2024-05-28,Pull A,pull,,Rowing barre,3,6,72.5,8.5
2024-05-28,Pull A,pull,,Tirage vertical,1,10,67.5,7
2024-05-28,Pull A,pull,,Tirage vertical,2,10,67.5,8
2024-05-28,Pull A,pull,,Tirage vertical,3,8,67.5,8
2024-05-28,Pull A,pull,,Curl barre,1,10,35,7
2024-05-28,Pull A,pull,,Curl barre,2,10,35,8
2024-05-28,Pull A,pull,,Curl barre,3,8,35,8.5
2024-05-30,Legs A,legs,,Squat barre,1,6,102.5,7.5
2024-05-30,Legs A,legs,,Squat barre,2,6,102.5,8
2024-05-30,Legs A,legs,,Squat barre,3,5,102.5,8.5
2024-05-30,Legs A,legs,,Presse à cuisses,1,10,145,7
2024-05-30,Legs A,legs,,Presse à cuisses,2,10,145,8
2024-05-30,Legs A,legs,,Presse à cuisses,3,8,145,8.5
2024-05-30,Legs A,legs,,Leg curl,1,12,52.5,7
2024-05-30,Legs A,legs,,Leg curl,2,10,52.5,8
2024-05-30,Legs A,legs,,Leg curl,3,10,52.5,8.5
2024-05-30,Legs A,legs,,Hip thrust,1,10,105,7
2024-05-30,Legs A,legs,,Hip thrust,2,10,105,8
2024-05-30,Legs A,legs,,Hip thrust,3,8,105,8
2024-06-02,Push B,push,,Développé militaire,1,8,67.5,7
2024-06-02,Push B,push,,Développé militaire,2,8,67.5,8
2024-06-02,Push B,push,,Développé militaire,3,6,67.5,8.5
2024-06-02,Push B,push,,Développé couché haltères,1,10,29,7
2024-06-02,Push B,push,,Développé couché haltères,2,10,29,8
2024-06-02,Push B,push,,Développé couché haltères,3,8,29,8.5
2024-06-02,Push B,push,,Arnold press,1,10,23,7
2024-06-02,Push B,push,,Arnold press,2,10,23,8
2024-06-02,Push B,push,,Arnold press,3,8,23,8
2024-06-02,Push B,push,,Écarté haltères,1,12,19,6
2024-06-02,Push B,push,,Écarté haltères,2,12,19,7
2024-06-02,Push B,push,,Écarté haltères,3,10,19,8
2024-06-04,Pull B,pull,,Soulevé de terre,1,5,135,7.5
2024-06-04,Pull B,pull,,Soulevé de terre,2,5,135,8
2024-06-04,Pull B,pull,,Soulevé de terre,3,4,135,8.5
2024-06-04,Pull B,pull,,Rowing haltère,1,10,36,7
2024-06-04,Pull B,pull,,Rowing haltère,2,10,36,8
2024-06-04,Pull B,pull,,Rowing haltère,3,8,36,8.5
2024-06-04,Pull B,pull,,Tirage horizontal poulie,1,10,62.5,7
2024-06-04,Pull B,pull,,Tirage horizontal poulie,2,10,62.5,8
2024-06-04,Pull B,pull,,Tirage horizontal poulie,3,8,62.5,8
2024-06-04,Pull B,pull,,Curl marteau,1,12,21,7
2024-06-04,Pull B,pull,,Curl marteau,2,10,21,8
2024-06-04,Pull B,pull,,Curl marteau,3,10,21,8.5
2024-06-06,Legs B,legs,,Squat bulgare,1,10,28,7.5
2024-06-06,Legs B,legs,,Squat bulgare,2,8,28,8
2024-06-06,Legs B,legs,,Squat bulgare,3,8,28,8.5
2024-06-06,Legs B,legs,,Soulevé de terre roumain,1,8,82.5,7
2024-06-06,Legs B,legs,,Soulevé de terre roumain,2,8,82.5,8
2024-06-06,Legs B,legs,,Soulevé de terre roumain,3,6,82.5,8.5
2024-06-06,Legs B,legs,,Leg extension,1,15,57.5,7
2024-06-06,Legs B,legs,,Leg extension,2,12,57.5,8
2024-06-06,Legs B,legs,,Leg extension,3,12,57.5,8
2024-06-06,Legs B,legs,,Fentes,1,12,23,7
2024-06-06,Legs B,legs,,Fentes,2,10,23,8
2024-06-06,Legs B,legs,,Fentes,3,10,23,8.5
2024-06-09,Push A,push,,Développé couché barre,1,8,92.5,7
2024-06-09,Push A,push,,Développé couché barre,2,8,92.5,8
2024-06-09,Push A,push,,Développé couché barre,3,6,92.5,8.5
2024-06-09,Push A,push,,Développé incliné haltères,1,10,27,7
2024-06-09,Push A,push,,Développé incliné haltères,2,10,27,8
2024-06-09,Push A,push,,Développé incliné haltères,3,8,27,8.5
2024-06-09,Push A,push,,Dips,1,10,22.5,7
2024-06-09,Push A,push,,Dips,2,8,22.5,8
2024-06-09,Push A,push,,Dips,3,8,22.5,8.5
2024-06-09,Push A,push,,Extension triceps poulie,1,12,34.5,6
2024-06-09,Push A,push,,Extension triceps poulie,2,12,34.5,7
2024-06-09,Push A,push,,Extension triceps poulie,3,10,34.5,8
2024-06-11,Pull A,pull,,Tractions pronation,1,8,12.5,7.5
2024-06-11,Pull A,pull,,Tractions pronation,2,7,12.5,8
2024-06-11,Pull A,pull,,Tractions pronation,3,6,12.5,8.5
2024-06-11,Pull A,pull,,Rowing barre,1,8,72.5,7
2024-06-11,Pull A,pull,,Rowing barre,2,8,72.5,8
2024-06-11,Pull A,pull,,Rowing barre,3,6,72.5,8.5
2024-06-11,Pull A,pull,,Tirage vertical,1,10,67.5,7
2024-06-11,Pull A,pull,,Tirage vertical,2,10,67.5,8
2024-06-11,Pull A,pull,,Tirage vertical,3,8,67.5,8
2024-06-11,Pull A,pull,,Curl barre,1,10,35,7
2024-06-11,Pull A,pull,,Curl barre,2,10,35,8
2024-06-11,Pull A,pull,,Curl barre,3,8,35,8.5
2024-06-13,Legs A,legs,,Squat barre,1,6,102.5,7.5
2024-06-13,Legs A,legs,,Squat barre,2,6,102.5,8
2024-06-13,Legs A,legs,,Squat barre,3,5,102.5,8.5
2024-06-13,Legs A,legs,,Presse à cuisses,1,10,145,7
2024-06-13,Legs A,legs,,Presse à cuisses,2,10,145,8
2024-06-13,Legs A,legs,,Presse à cuisses,3,8,145,8.5
2024-06-13,Legs A,legs,,Leg curl,1,12,52.5,7
2024-06-13,Legs A,legs,,Leg curl,2,10,52.5,8
2024-06-13,Legs A,legs,,Leg curl,3,10,52.5,8.5
2024-06-13,Legs A,legs,,Hip thrust,1,10,105,7
2024-06-13,Legs A,legs,,Hip thrust,2,10,105,8
2024-06-13,Legs A,legs,,Hip thrust,3,8,105,8
2024-06-16,Push B,push,,Développé militaire,1,8,67.5,7
2024-06-16,Push B,push,,Développé militaire,2,8,67.5,8
2024-06-16,Push B,push,,Développé militaire,3,6,67.5,8.5
2024-06-16,Push B,push,,Développé couché haltères,1,10,29,7
2024-06-16,Push B,push,,Développé couché haltères,2,10,29,8
2024-06-16,Push B,push,,Développé couché haltères,3,8,29,8.5
2024-06-16,Push B,push,,Arnold press,1,10,23,7
2024-06-16,Push B,push,,Arnold press,2,10,23,8
2024-06-16,Push B,push,,Arnold press,3,8,23,8
2024-06-16,Push B,push,,Écarté haltères,1,12,19,6
2024-06-16,Push B,push,,Écarté haltères,2,12,19,7
2024-06-16,Push B,push,,Écarté haltères,3,10,19,8
2024-06-18,Pull B,pull,,Soulevé de terre,1,5,135,7.5
2024-06-18,Pull B,pull,,Soulevé de terre,2,5,135,8
2024-06-18,Pull B,pull,,Soulevé de terre,3,4,135,8.5
2024-06-18,Pull B,pull,,Rowing haltère,1,10,36,7
2024-06-18,Pull B,pull,,Rowing haltère,2,10,36,8
2024-06-18,Pull B,pull,,Rowing haltère,3,8,36,8.5
2024-06-18,Pull B,pull,,Tirage horizontal poulie,1,10,62.5,7
2024-06-18,Pull B,pull,,Tirage horizontal poulie,2,10,62.5,8
2024-06-18,Pull B,pull,,Tirage horizontal poulie,3,8,62.5,8
2024-06-18,Pull B,pull,,Curl marteau,1,12,21,7
2024-06-18,Pull B,pull,,Curl marteau,2,10,21,8
2024-06-18,Pull B,pull,,Curl marteau,3,10,21,8.5
2024-06-20,Legs B,legs,,Squat bulgare,1,10,28,7.5
2024-06-20,Legs B,legs,,Squat bulgare,2,8,28,8
2024-06-20,Legs B,legs,,Squat bulgare,3,8,28,8.5
2024-06-20,Legs B,legs,,Soulevé de terre roumain,1,8,82.5,7
2024-06-20,Legs B,legs,,Soulevé de terre roumain,2,8,82.5,8
2024-06-20,Legs B,legs,,Soulevé de terre roumain,3,6,82.5,8.5
2024-06-20,Legs B,legs,,Leg extension,1,15,57.5,7
2024-06-20,Legs B,legs,,Leg extension,2,12,57.5,8
2024-06-20,Legs B,legs,,Leg extension,3,12,57.5,8
2024-06-20,Legs B,legs,,Fentes,1,12,23,7
2024-06-20,Legs B,legs,,Fentes,2,10,23,8
2024-06-20,Legs B,legs,,Fentes,3,10,23,8.5
2024-06-23,Push A,push,,Développé couché barre,1,8,95,7
2024-06-23,Push A,push,,Développé couché barre,2,8,95,8
2024-06-23,Push A,push,,Développé couché barre,3,6,95,8.5
